Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
1974,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,8.59216
1975,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,6.5501
1976,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,28.53784
1977,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,16.65714
1978,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,14.30811
1979,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,16.03224
1980,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,4.48254
1981,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,6.13597
1982,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,5.89006
1983,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-0.67538
1984,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,8.41727
1985,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,19.06469
1986,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-9.80877
1987,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-2.42867
1988,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,7.08072
1989,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,7.8173
1990,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,5.15248
1991,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,35.7226
1992,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,10.52744
1993,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,3.54307
1994,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,7.59388
1995,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,10.02217
1996,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-8.48425
1997,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,2.39521
1998,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,0.8948
1999,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,7.94145
2000,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,0.66246
2001,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-8.23784
2002,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,1.65373
2003,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,17.76228
2004,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,3.25627
2005,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,12.94488
2006,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,12.31
2007,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,17.238
2008,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,44.39128
2009,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,8.46834
2010,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,8.13694
2011,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,32.01479
2012,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,23.37858
2013,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,7.46402
2014,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,6.89002
2015,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,9.5689
2016,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,6.62813
2017,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,10.68173
2018,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,13.83076
2019,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,15.84032
1990,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-6.59297
1991,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-5.8733
1992,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.73941
1993,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.75032
1994,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-5.18839
1995,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.1003
1996,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.64252
1997,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.13874
1998,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.05139
1999,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.20192
2001,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.20211
2002,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-7.45924
2003,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-5.51938
2004,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.32193
2005,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.47685
2006,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.20937
2007,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.75784
2008,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.92159
2009,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.22257
2010,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.73396
2011,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.34984
2012,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,0.67909
2013,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.54264
2014,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.66909
2015,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.12339
2016,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.67156
2017,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.61839
2018,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.04308
2019,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Cash surplus/deficit as a proportion of GDP [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.74966
1990,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.63919
1991,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,7.45061
1992,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,5.60078
1993,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,5.91191
1994,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,7.67825
1995,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.42952
1996,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.95249
1997,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,10.52276
1998,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,11.26215
1999,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,10.88482
2001,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.08387
2002,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,9.70983
2003,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,9.1169
2004,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,9.68076
2005,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.72442
2006,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.26285
2007,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,7.81253
2008,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,7.81414
2009,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,6.58118
2010,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.16344
2011,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,9.20936
2012,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,9.37759
2013,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.76473
2014,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.81196
2015,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.35134
2016,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,8.08707
2017,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,7.60393
2018,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,7.51992
2019,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,6.66174
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.25865
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,12.33442
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,18.02439
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.79276
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,13.63914
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,8.30002
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.64309
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,12.09442
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,18.72667
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.41704
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,9.83874
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.526
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,9.93724
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.81671
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,8.65041
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,10.62399
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,31.01505
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,21.90312
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-10.36142
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.27516
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.82187
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-11.21873
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-8.14108
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,7.66566
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,11.77793
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,17.70413
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.51705
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,46.51123
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,9.44074
